treatment,tank,date,temperature,salinity,nitrate,phosphate,calcium,alkalinity,magnesium,
"1 bicarb, 1 Ca, Added bsoblocks and starter, protein skimmer off until next friday, salinity 34.3 after replacing water post-feeding",Sys 8,10/30/20,26,35,0,,450,9.9,1440,broken meter
,Sys 6,11/2/20,25.6,36.6,,,,,,
"5% WC to lower salinity, 34.2 after DI + bactrum starter + tap off",Sys 8,11/2/20,26.3,34.8,,,,,,
"5% WC to lower salinity, 34.8 after DI + bactrum starter + tap off",Sys 6,11/3/20,26,35.4,,,,,,
,Sys 8,11/3/20,28.2,35.6,,,,,,
,Sys 6,11/4/20,25.9,35.1,,,,,,
,Sys 8,11/4/20,27.9,34.9,,,,,,
30% water change,Sys 6,11/5/20,25.9,34.6,,,,,,
"30% water change, 33.3 salinity after",Sys 8,11/5/20,26.4,33.7,,,,,,
"1 bicarb, 1 Ca",Sys 6,11/6/20,25.6,33.6,,,,,,
"1 bicarb, 1 Ca",Sys 8,11/6/20,26.3,33.1,,,,,,
,Sys 6,11/9/20,25.6,34.3,,,,,,
,Sys 8,11/9/20,26.4,34.7,,,,,,
,Sys 6,11/10/20,25.6,34.4,,,,,,
,Sys 8,11/10/20,26.1,34.5,,,,,,
,Sys 6,11/11/20,25.5,34.8,,,,,,
,Sys 8,11/11/20,26.4,34.6,,,,,,
,Sys 6,11/12/20,25.5,34.9,,,,,,
,Sys 8,11/12/20,26.4,35.9,,,,,,
"1 bicarb, 1 Ca",Sys 6,11/13/20,25.5,34.8,,,,,,
"1 bicarb, 1 Ca",Sys 8,11/13/20,26.4,34.4,,,,,,
,Sys 6,11/16/20,25.5,35.3,,,,,,
,Sys 8,11/16/20,26.3,34.5,,,,,,
,Sys 6,11/17/20,,,,,,,,
,Sys 8,11/17/20,,,,,,,,
,Sys 6,11/18/20,25.5,36.5,,,,,,
,Sys 8,11/18/20,27,36,,,,,,
,Sys 6,11/19/20,25.6,34.8,,,,,,
,Sys 8,11/19/20,27.8,34.6,,,,,,
2 bicarb,Sys 6,11/20/20,25.5,33.9,0,0,470,7.5,1400,
2 bicarb,Sys 8,11/20/20,25.1,33.8,0,0.12,485,7.3,1350,
"electricity, +1 bicarb",Sys 6,11/23/20,,,,,,,,
1 bicarb,Sys 8,11/23/20,26.3,35.9,,,,,,
change in temp to heat stress,Sys 6,11/24/20,25.7,35.2,,,,,,
change temp due to heat stress,Sys 8,11/24/20,26.9,35.4,,,,,,
"5% wc, +1 bicarb. 34.6 salinity to 33.6 at 8pm",Sys 6,11/25/20,26.4,34.8,,,,,,
"5% WC for salinity, 33.8 @8pm, 1 bicarb",Sys 8,11/25/20,26.5,35.6,,,,,,
"1 bicarb, 1 Ca",Sys 6,11/27/20,27.5,35.5,,,,,,
,Sys 8,11/27/20,27.7,35.5,,,,,,
"2 bicarb, 2 Ca",Sys 6,11/30/20,28.4,35.9,,,,,,
